roc_auc,sensitivity,specificity,jaccard,accuracy
0.5144665461,0.1428571429,0.8860759494,0.73,0.73
0.5,0,1,0.79,0.79
0.5765521398,0.380952381,0.7721518987,0.69,0.69
0.5641952984,0.5714285714,0.5569620253,0.56,0.56
0.5063291139,1,0.0126582278,0.22,0.22
0.5898131404,0.7619047619,0.417721519,0.49,0.49
0.5189873418,1,0.0379746835,0.24,0.24
0.6036769138,0.5238095238,0.6835443038,0.65,0.65
0.5331525015,0.9523809524,0.1139240506,0.29,0.29
0.5,1,0,0.21,0.21
0.550331525,0.8095238095,0.2911392405,0.4,0.4
0.5141651597,0.9523809524,0.0759493671,0.26,0.26
0.627787824,0.7619047619,0.4936708861,0.55,0.55
0.4665461121,0.8571428571,0.0759493671,0.24,0.24
0.4665461121,0.8571428571,0.0759493671,0.24,0.24
0.5379746835,1,0.0759493671,0.27,0.27
0.5253164557,1,0.0506329114,0.25,0.25
0.5156720916,0.9047619048,0.1265822785,0.29,0.29
0.488848704,0.9523809524,0.0253164557,0.22,0.22
0.5126582278,1,0.0253164557,0.23,0.23
0.5235081374,0.8571428571,0.1898734177,0.33,0.33
0.5488245931,0.8571428571,0.2405063291,0.37,0.37
0.5093429777,0.9047619048,0.1139240506,0.28,0.28
0.4918625678,0.8571428571,0.1265822785,0.28,0.28
0.4960819771,0.5238095238,0.4683544304,0.48,0.48
0.5156720916,0.9047619048,0.1265822785,0.29,0.29
0.5126582278,1,0.0253164557,0.23,0.23
0.5078360458,0.9523809524,0.0632911392,0.25,0.25
0.5189873418,1,0.0379746835,0.24,0.24
0.5045207957,0.8571428571,0.1518987342,0.3,0.3
0.5283303195,0.9047619048,0.1518987342,0.31,0.31
0.5283303195,0.9047619048,0.1518987342,0.31,0.31
0.5298372514,0.8571428571,0.2025316456,0.34,0.34
0.5063291139,1,0.0126582278,0.22,0.22
0.5283303195,0.9047619048,0.1518987342,0.31,0.31
0.5298372514,0.8571428571,0.2025316456,0.34,0.34
0.5424954792,0.8571428571,0.2278481013,0.36,0.36
0.5171790235,0.8571428571,0.1772151899,0.32,0.32
0.4855334539,0.8571428571,0.1139240506,0.27,0.27
0.4981916817,0.8571428571,0.1392405063,0.29,0.29
0.5063291139,1,0.0126582278,0.22,0.22
0.5440024111,0.8095238095,0.2784810127,0.39,0.39
0.4966847498,0.9047619048,0.0886075949,0.26,0.26
0.5045207957,0.8571428571,0.1518987342,0.3,0.3
0.5045207957,0.8571428571,0.1518987342,0.3,0.3
0.5030138638,0.9047619048,0.1012658228,0.27,0.27
0.47920434,0.8571428571,0.1012658228,0.26,0.26
0.4966847498,0.9047619048,0.0886075949,0.26,0.26
0.4966847498,0.9047619048,0.0886075949,0.26,0.26
0.561482821,0.8571428571,0.2658227848,0.39,0.39
0.4981916817,0.8571428571,0.1392405063,0.29,0.29
0.5232067511,0.6666666667,0.3797468354,0.44,0.44
0.5045207957,0.8571428571,0.1518987342,0.3,0.3
0.5063291139,1,0.0126582278,0.22,0.22
